"ID","BIC_lm2","BIC_lm3","BIC_HollT2"
40056,-100.268496447088,-103.763111852894,-99.0327253496269
40057,-99.3638695196375,-97.7731806827366,-92.4465376474082
40058,-57.0078795655635,-Inf,-52.2814536353604
40059,-134.311416675632,-137.44914948137,-136.737493029059
40060,-76.7279092426641,-78.3274391352123,-76.9337252177224
40061,-125.044993302342,-124.419129393115,-130.989562299339
40062,-135.687882838176,-135.34320368382,-136.126012926915
40063,-446.043032848092,-443.64844758392,-445.683803092298
40064,-185.834851146199,-183.43567560259,-183.841816199565
40065,-244.657326331106,-241.666375167303,-247.566723974903
40066,-124.0656494767,-123.179735054719,-124.788185095884
40067,-191.952853956306,-189.073079642367,-195.075720778291
40068,-53.2946449483823,-64.7874615694107,-40.5033244048954
40069,-48.2884353797076,-47.6547087146067,-33.8420939901738
40070,-26.6410596410382,-31.4074045818896,-28.8129076258628
40071,-22.9967331977951,-38.9757044508285,-27.7313974027754
40072,-28.529728431318,-26.8448152561551,-27.1315980018023
40073,-20.0065697871965,-27.3831861979047,-25.6415071558828
40074,-26.7150931937788,-31.2076183947857,-28.4917675590198
40075,-39.6020728937653,-38.403510053239,-36.6465405742364
40076,-25.0622600175394,-24.9223589475778,-28.4289092940634
40077,-69.9201001433801,-82.1030462419509,-72.6596489257374
40078,-69.350662366286,-67.9269757916377,-61.1533991803059
40079,-57.1878595635796,-58.2602044810817,-55.9869695454658
40080,-48.096204350358,-50.2195744480231,-52.1868492769779
40081,-52.2227871613972,-58.6607778064865,-58.9174009349728
40082,-39.8512180364503,-53.0784548920784,-46.7935282563002
40083,-57.2687972027783,-56.8859541787961,-41.070466760997
40084,-44.0488255249698,-44.7881013503373,-42.1154449440559
40085,-38.9933813414918,-45.8306609657778,-44.6194977436333
40086,-43.4095648195074,-48.8545028677324,-50.8689142923823
40087,-56.4927703406077,-54.7050217150286,-50.5809191013306
40088,-80.4124276516354,-78.9481990664222,-78.1787394785048
40089,-70.9029000685153,-70.201763310548,-70.4275140389237
40090,-71.6123091337124,-70.0999844520687,-72.093476020908
40091,-71.5671929554078,-70.1416946192057,-69.098187947309
40092,-71.0530932363028,-70.9330663872955,-71.9092277340453
40093,-74.2348299357395,-77.0556297465251,-75.4041956483882
40094,-70.1366022164914,-69.7524211817933,-69.9176030289885
40095,-67.2772672676788,-80.4533765836513,-67.8954692505613
40096,-82.4537799345686,-87.0143229444017,-78.4138285810611
40097,-86.0327461672992,-88.3029199390451,-84.1116413619168
40098,-474.404119159775,-473.769515360233,-476.886840647691
40099,-715.216752812034,-712.929187359035,-709.853042252763
40100,-797.0770901786,-793.89997031548,-800.408570834849
40101,-1433.52486565647,-1429.3537044031,-1437.26200998798
40102,29.6725652847159,34.2722839281789,51.8864956778639
40103,-163.965681173999,-163.874472959614,-165.563342152876
40104,-181.590270526978,-179.521178696686,-182.505842131992
40105,-132.775902861419,-133.826385639608,-120.696020182328
40106,-110.339802555085,-113.651164190916,-110.278572167288
40107,-152.42233403702,-158.562055468028,-132.703213718479
40108,-400.858079988101,-399.435032684429,-406.294154547789
40109,-499.057460317728,-498.01026123715,-502.054620825285
40110,-534.543560122617,-532.555428537376,-538.527333220068
40111,-74.3270870896613,-75.3441003342809,-73.9530569820502
40112,-1.84603742942569,-6.64832593681576,-2.5236667492183
351,0.611182992063124,-7.11404970498618,16.9794541126595
814,-130.328484620159,-130.014595938428,-130.002842640695
71,-91.1788121932868,-91.0191089491928,-92.02519462157
445,-87.1339563380341,-Inf,-83.2684619680436
3,-70.3677723815505,-Inf,-79.5231077769738
2,-104.25792113846,-Inf,-71.2125633214753
450,-125.392334894078,-136.347061277778,-128.342986160161
140,-33.1888882657686,-32.5086822654724,-32.5044551057997
79,-179.062673115693,-176.867062183524,-174.279512973023
713,-527.996053354951,-527.134119607078,-533.666123014363
708,-84.2238800417862,-101.511515136691,-90.1549734483073
920,-1.47674593254859,-4.12790737934608,-12.3594554550081
721,-137.197289477952,-148.060595853644,-144.842486197457
687,-1122.38575426824,-1126.26319390696,-1122.74399153087
691,-1060.95092162514,-1056.88802133843,-1064.89157450068
6,-522.014288234627,-519.027528832518,-525.080289755332
695,-77.1233836020325,-79.8064049572854,-78.4463341340274
40114,-82.0162603859949,-92.3806821596944,-82.4033077088496
40115,-15.3085819338787,-15.685513032963,-20.1850536262138
40116,-9.88430612719191,-10.2806741883248,-12.9865637491165
40117,-12.4811249641865,-10.7575314837366,-13.5086595318789
40118,-24.6004094560139,-22.8779626292128,-26.3719939791223
40119,-21.4349121216096,-20.5677023218505,-22.3595206107764
40120,-21.6581988573957,-22.731308259015,-16.0571358087847
40121,-49.098653659646,-52.5988824816215,-50.5011562514052
40122,-561.831844188854,-559.053587387897,-560.541074707544
40123,-50.3659807128047,-53.3262068911024,-57.1581971444044
40124,-61.9049733030132,-61.4077696381033,-64.3226163013027
40125,-432.49880578563,-430.154838238444,-430.602656472497
40126,-399.446494180499,-410.944477209676,-397.754228643152
40127,-301.225320304231,-299.219827165297,-304.652267008862
40128,-16.4364921013621,-14.6247820577154,-15.4531403559223
40129,-7.2628790294948,-5.35087057947677,-8.01869466648603
40130,-1.36938974667424,-9.90440609324527,-26.4054333634375
