"ID","AIC_lm2","AIC_lm3","AIC_HollT2"
39880,-64.0058749603711,-35.1380939572383,-75.9809651145895
39881,-67.554057413983,-40.3272952593073,-79.6676667836788
39882,-63.7139572729331,-36.0878541341419,-76.2787008060536
39883,-875.17427360529,-879.389982080188,-846.009240859655
39884,-78.0586164304378,Inf,-95.2265532436356
39885,-92.2048007650727,-67.0503885640112,-103.345447236936
39886,-84.9123693028977,Inf,-94.8255146714798
39887,-71.4036443967113,Inf,-90.5067393470107
39888,Inf,-Inf,-51.1500816931043
39889,Inf,-Inf,-53.2052815920534
39890,-80.3112048069109,-50.8258664466186,-85.8156958394878
39891,-73.0598121946328,-51.3697750873796,-85.859600999418
39892,-276.862397104938,-281.811355840316,-254.588799503565
39893,-283.21584234657,-281.012056474606,-273.996537505755
39894,-92.8800642022999,-86.1668276444688,-108.196443699041
39895,-110.561084326241,-106.23914903614,-117.159721016727
39896,-114.07613671274,-104.863638723527,-115.071435840505
39897,-114.609193835047,-105.771183259624,-119.480051944566
39898,-136.048161062696,-127.618739696727,-129.175538723523
39899,-122.760538612602,-113.535711673711,-117.596686216512
39900,-123.251461850527,-118.509948521368,-128.169741095486
39901,-115.980073717289,-108.113053826963,-104.234966787243
39902,-105.347070610787,-96.1901786916861,-111.341026678954
39903,-102.487362183602,-93.359276113492,-108.373957491541
39904,-119.381141877445,-110.063922096243,-119.530460379522
39905,-112.880446598166,-103.755051956371,-118.06143882242
39906,-120.033286426959,-112.389917540927,-127.822756637217
39907,-182.676769346847,-183.460188770594,-181.692539506582
39908,-137.170160407701,-132.821518866992,-152.861166492933
39909,-133.795063650391,-131.788607728257,-143.148842177864
39910,764.796057911828,765.024939382732,761.363200331712
39911,777.498597984552,779.41350610225,780.342220197785
39912,-93.2707204579906,-112.628115583619,-80.8565717497328
39913,Inf,-Inf,-57.5780259467963
39914,51.1660378723551,56.3993344462227,43.3370007521385
39915,-68.9836439506832,-66.0114628602033,-76.8632234024426
39916,-10.7100062746151,-13.8079571375015,-24.0821365791942
39917,-56.4695711122276,Inf,-73.5839908211318
39918,-79.1744060452293,-72.0777663267103,-61.0468490136276
39919,-52.53652048034,Inf,-72.0430868106334
39920,-43.1665687394551,Inf,-61.984329266261
39921,-39.6654254775771,Inf,-49.4773175066687
39922,-37.4482538370185,Inf,-57.2756622522965
39923,-41.2145925545405,Inf,-63.9758618677062
39924,-129.963220231393,-115.67886313213,-141.412262860851
39925,-57.102830551481,-57.3362269801172,-56.8571648248834
39926,-93.1150156045106,Inf,-98.0081668993892
39927,-81.1003824810584,Inf,-96.1152191144348
39928,-80.8737817424084,Inf,-93.0060936324214
39929,-77.6963076102966,Inf,-94.0426169107996
